operation,gas,submit_ms,inclusion_ms,block,txhash
postBond,282218,163,8091,11492539,0xb3906fd82938e112128facb928749c7a1888e0862392e144abdba41c41cdb2f8
checkpoint,87645,160,24183,11492541,0xd16e774837edda8403848b2850f6221b50b3773564a6e2a62bacbfa9f9619fde
confirm_CAS,109986,153,36239,11492543,0xf5110d3d8b9ee2911f3282fd35c1092f1a82b299c87280a8426dc4a6292f741f
checkpoint,70545,157,12124,11492544,0x84e45c6e754221f9213294b37fe97ba034417703ba576e0bccfc45d934573c22
confirm_CAS,92886,153,24183,11492546,0x8db354ab67dbe13a6d25bb82b99bcb117f620719f049c4f4eac2c3edae6233a4
checkpoint,70545,202,12109,11492547,0x2d35d20d33de888bafd6ef4bcd50f61e5026335ea561ff183fbac63acdfdbf08
confirm_CAS,92886,150,12112,11492548,0xbdcbfd3d6f9c43a46d8b07ade75e8f610d2605d9d4e129c5593b55264e8239af
checkpoint,70545,161,12118,11492549,0x21d292f49430f806843034215b7640a6a3a2c0f7735e41065c80a1d7be35d907
confirm_CAS,92886,155,12109,11492550,0x7cba84d66ab357b496088b2f064039541dd6faa3f85c42ecd63687b5ab783bfe
checkpoint,70545,161,24176,11492552,0x54f5d546d0b409551c10606cb591e6c4d317a93fb8b048e07cdd5e72700433ee
confirm_CAS,92886,154,12118,11492553,0xde7d6f8ac64336edf9fd89e98699ab9a1720a791db92607de3759b682ff013d9
openClaim,166934,163,20162,11492555,0xf20542c33ba99b9d6801feaa60ff62e24f4a9235446a94efc5fc3f40fa0435a9
settleClaim,45816,160,12109,11492557,0x3039bae308030bdc83e56541232befaffcc6f01b052b4365279a5e615a102ab6
