L_rtt,p,variant,effective_success,ci95
0.0,1.0,ballast_fixed,0.66264,0.00114
0.0,1.0,ballast_adaptive,0.62044,0.00111
0.0,1.0,ballast_adaptive_delayed,0.61214,0.0012
0.0,1.0,horcrux,0.64072,0.00194
0.0,1.0,shaduf,0.53763,0.00141
0.0,1.0,shaduf_strict,0.53763,0.00141
0.0,1.0,revive,0.40919,0.00116
0.0,0.99,ballast_fixed,0.66264,0.00114
0.0,0.99,ballast_adaptive,0.62044,0.00111
0.0,0.99,ballast_adaptive_delayed,0.61214,0.0012
0.0,0.99,horcrux,0.63888,0.00193
0.0,0.99,shaduf,0.53763,0.00141
0.0,0.99,shaduf_strict,0.53623,0.00141
0.0,0.99,revive,0.40919,0.00116
0.0,0.95,ballast_fixed,0.66264,0.00114
0.0,0.95,ballast_adaptive,0.62044,0.00111
0.0,0.95,ballast_adaptive_delayed,0.61214,0.0012
0.0,0.95,horcrux,0.63158,0.00189
0.0,0.95,shaduf,0.53763,0.00141
0.0,0.95,shaduf_strict,0.53065,0.00142
0.0,0.95,revive,0.40919,0.00116
1.0,1.0,ballast_fixed,0.66264,0.00114
1.0,1.0,ballast_adaptive,0.62044,0.00111
1.0,1.0,ballast_adaptive_delayed,0.61214,0.0012
1.0,1.0,horcrux,0.63201,0.0019
1.0,1.0,shaduf,0.52943,0.00142
1.0,1.0,shaduf_strict,0.52943,0.00142
1.0,1.0,revive,0.40919,0.00116
1.0,0.99,ballast_fixed,0.66264,0.00114
1.0,0.99,ballast_adaptive,0.62044,0.00111
1.0,0.99,ballast_adaptive_delayed,0.61214,0.0012
1.0,0.99,horcrux,0.63028,0.00189
1.0,0.99,shaduf,0.52943,0.00142
1.0,0.99,shaduf_strict,0.52812,0.00142
1.0,0.99,revive,0.40919,0.00116
1.0,0.95,ballast_fixed,0.66264,0.00114
1.0,0.95,ballast_adaptive,0.62044,0.00111
1.0,0.95,ballast_adaptive_delayed,0.61214,0.0012
1.0,0.95,horcrux,0.62341,0.00186
1.0,0.95,shaduf,0.52943,0.00142
1.0,0.95,shaduf_strict,0.52294,0.00142
1.0,0.95,revive,0.40919,0.00116
5.0,1.0,ballast_fixed,0.66264,0.00114
5.0,1.0,ballast_adaptive,0.62044,0.00111
5.0,1.0,ballast_adaptive_delayed,0.61214,0.0012
5.0,1.0,horcrux,0.60485,0.00178
5.0,1.0,shaduf,0.50505,0.00142
5.0,1.0,shaduf_strict,0.50505,0.00142
5.0,1.0,revive,0.40919,0.00116
5.0,0.99,ballast_fixed,0.66264,0.00114
5.0,0.99,ballast_adaptive,0.62044,0.00111
5.0,0.99,ballast_adaptive_delayed,0.61214,0.0012
5.0,0.99,horcrux,0.60345,0.00177
5.0,0.99,shaduf,0.50505,0.00142
5.0,0.99,shaduf_strict,0.50404,0.00142
5.0,0.99,revive,0.40919,0.00116
5.0,0.95,ballast_fixed,0.66264,0.00114
5.0,0.95,ballast_adaptive,0.62044,0.00111
5.0,0.95,ballast_adaptive_delayed,0.61214,0.0012
5.0,0.95,horcrux,0.59789,0.00175
5.0,0.95,shaduf,0.50505,0.00142
5.0,0.95,shaduf_strict,0.49999,0.00143
5.0,0.95,revive,0.40919,0.00116
25.0,1.0,ballast_fixed,0.66264,0.00114
25.0,1.0,ballast_adaptive,0.62044,0.00111
25.0,1.0,ballast_adaptive_delayed,0.61214,0.0012
25.0,1.0,horcrux,0.54532,0.00157
25.0,1.0,shaduf,0.45738,0.00144
25.0,1.0,shaduf_strict,0.45738,0.00144
25.0,1.0,revive,0.40919,0.00116
25.0,0.99,ballast_fixed,0.66264,0.00114
25.0,0.99,ballast_adaptive,0.62044,0.00111
25.0,0.99,ballast_adaptive_delayed,0.61214,0.0012
25.0,0.99,horcrux,0.54461,0.00157
25.0,0.99,shaduf,0.45738,0.00144
25.0,0.99,shaduf_strict,0.4569,0.00144
25.0,0.99,revive,0.40919,0.00116
25.0,0.95,ballast_fixed,0.66264,0.00114
25.0,0.95,ballast_adaptive,0.62044,0.00111
25.0,0.95,ballast_adaptive_delayed,0.61214,0.0012
25.0,0.95,horcrux,0.54177,0.00156
25.0,0.95,shaduf,0.45738,0.00144
25.0,0.95,shaduf_strict,0.45498,0.00145
25.0,0.95,revive,0.40919,0.00116
