ledger,delta_s,eta_per_s,theta_label,theta_sat,tau_e_s,B_safe_sat,B_safe_btc
rollup,1.0,40,p50,167344,60.0,408320580,4.08
rollup,1.0,40,p50,167344,600.0,4022961780,40.23
rollup,1.0,40,p95,420346,60.0,1025644240,10.26
rollup,1.0,40,p95,420346,600.0,10105117840,101.05
rollup,1.0,400,p50,167344,60.0,4083205800,40.83
rollup,1.0,400,p50,167344,600.0,40229617800,402.3
rollup,1.0,400,p95,420346,60.0,10256442400,102.56
rollup,1.0,400,p95,420346,600.0,101051178400,1010.51
rollup,1.0,1280,p50,167344,60.0,13066258560,130.66
rollup,1.0,1280,p50,167344,600.0,128734776960,1287.35
rollup,1.0,1280,p95,420346,60.0,32820615680,328.21
rollup,1.0,1280,p95,420346,600.0,323363770880,3233.64
L1,12.0,40,p50,167344,60.0,481952160,4.82
L1,12.0,40,p50,167344,600.0,4096593360,40.97
L1,12.0,40,p95,420346,60.0,1210596480,12.11
L1,12.0,40,p95,420346,600.0,10290070080,102.9
L1,12.0,400,p50,167344,60.0,4819521600,48.2
L1,12.0,400,p50,167344,600.0,40965933600,409.66
L1,12.0,400,p95,420346,60.0,12105964800,121.06
L1,12.0,400,p95,420346,600.0,102900700800,1029.01
L1,12.0,1280,p50,167344,60.0,15422469120,154.22
L1,12.0,1280,p50,167344,600.0,131090987520,1310.91
L1,12.0,1280,p95,420346,60.0,38739087360,387.39
L1,12.0,1280,p95,420346,600.0,329282242560,3292.82
