variant,scheme,success_ratio,ci95,margin_vs_horcrux_pp,pooling_attribution_pp,nodes,edges,seeds,tx_load
G2021,LN,0.40938,0.001163,6.485,29.092,10529,38910,10,50000
G2021,Horcrux,0.640716,0.001939,6.485,29.092,10529,38910,10,50000
G2021,Ballast,0.705566,0.001282,6.485,29.092,10529,38910,10,50000
G2021,Ballast-PC,0.414644,0.001036,6.485,29.092,10529,38910,10,50000
G2026,LN,0.673492,0.001766,1.64,20.12,5493,26948,10,50000
G2026,Horcrux,0.864304,0.001717,1.64,20.12,5493,26948,10,50000
G2026,Ballast,0.880704,0.001855,1.64,20.12,5493,26948,10,50000
G2026,Ballast-PC,0.679508,0.001835,1.64,20.12,5493,26948,10,50000
H_capacity,LN,0.42695,0.00169,11.473,48.083,5493,26948,10,50000
H_capacity,Horcrux,0.81268,0.001578,11.473,48.083,5493,26948,10,50000
H_capacity,Ballast,0.927408,0.00106,11.473,48.083,5493,26948,10,50000
H_capacity,Ballast-PC,0.446576,0.001632,11.473,48.083,5493,26948,10,50000
H_topology,LN,0.802828,0.001238,2.189,16.845,10529,38910,10,50000
H_topology,Horcrux,0.962622,0.000609,2.189,16.845,10529,38910,10,50000
H_topology,Ballast,0.984512,0.00047,2.189,16.845,10529,38910,10,50000
H_topology,Ballast-PC,0.816062,0.001038,2.189,16.845,10529,38910,10,50000
H_scale,LN,0.399178,0.001621,5.225,30.79,5493,16098,10,50000
H_scale,Horcrux,0.665298,0.002453,5.225,30.79,5493,16098,10,50000
H_scale,Ballast,0.717546,0.001169,5.225,30.79,5493,16098,10,50000
H_scale,Ballast-PC,0.409648,0.001567,5.225,30.79,5493,16098,10,50000
