phi,scheme,success_ratio,refusals,mean_depth
-1,LN,0.40937999999999997,0.0,0.0
-1,Shaduf,0.627288,0.0,1.1769848561317853
-1,Horcrux,0.6407160000000001,0.0,1.1287296456791374
0.1,Ballast-perch,0.41044400000000003,29477.8,1.0497598518418272
0.1,Ballast,0.6536640000000001,17316.8,1.2467709924835313
0.2,Ballast-perch,0.41228,29386.0,1.0832419183214135
0.2,Ballast,0.686692,15665.4,1.3204576068299028
0.3,Ballast-perch,0.4146439999999999,29267.8,1.1206885598294307
0.3,Ballast,0.7055659999999999,14721.7,1.3731279772842024
0.4,Ballast-perch,0.417138,29143.1,1.1667395684675008
0.4,Ballast,0.7189939999999999,14050.3,1.4207077349311734
0.5,Ballast-perch,0.419844,29007.8,1.2174182396817546
0.5,Ballast,0.730446,13477.7,1.4679806376486175
