n,variant,success_ratio,ci95,rounds,seeds
4,LN,0.85614,0.00053,20000,10
4,Ballast-PC,0.88385,0.00046,20000,10
4,Ballast,0.9126,0.00059,20000,10
8,LN,0.85562,0.00053,20000,10
8,Ballast-PC,0.88308,0.00061,20000,10
8,Ballast,0.91182,0.00071,20000,10
10,LN,0.85574,0.00054,20000,10
10,Ballast-PC,0.88346,0.0005,20000,10
10,Ballast,0.91039,0.00063,20000,10
16,LN,0.85613,0.00012,20000,10
16,Ballast-PC,0.88364,0.00016,20000,10
16,Ballast,0.90524,0.00035,20000,10
32,LN,0.85605,0.00028,20000,10
32,Ballast-PC,0.88354,0.00025,20000,10
32,Ballast,0.89458,0.00037,20000,10
64,LN,0.85604,0.00021,20000,10
64,Ballast-PC,0.88348,0.00026,20000,10
64,Ballast,0.88358,0.00043,20000,10
