capacity,scheme,seed,success_ratio,tx_load
1,LN,0,0.16416,50000
1,Revive,0,0.16448,50000
1,Shaduf,0,0.35694,50000
1,Horcrux,0,0.35946,50000
1,Ballast,0,0.45828,50000
1,Ballast-PC,0,0.1652,50000
1,LN,1,0.16372,50000
1,Revive,1,0.16426,50000
1,Shaduf,1,0.35864,50000
1,Horcrux,1,0.36098,50000
1,Ballast,1,0.46088,50000
1,Ballast-PC,1,0.16472,50000
1,LN,2,0.16542,50000
1,Revive,2,0.16592,50000
1,Shaduf,2,0.35904,50000
1,Horcrux,2,0.36218,50000
1,Ballast,2,0.46368,50000
1,Ballast-PC,2,0.16634,50000
1,LN,3,0.16438,50000
1,Revive,3,0.16446,50000
1,Shaduf,3,0.35296,50000
1,Horcrux,3,0.36296,50000
1,Ballast,3,0.45862,50000
1,Ballast-PC,3,0.16504,50000
1,LN,4,0.16648,50000
1,Revive,4,0.16672,50000
1,Shaduf,4,0.3597,50000
1,Horcrux,4,0.36088,50000
1,Ballast,4,0.46252,50000
1,Ballast-PC,4,0.16748,50000
1,LN,5,0.16878,50000
1,Revive,5,0.16912,50000
1,Shaduf,5,0.35886,50000
1,Horcrux,5,0.36028,50000
1,Ballast,5,0.45894,50000
1,Ballast-PC,5,0.1696,50000
1,LN,6,0.1652,50000
1,Revive,6,0.16578,50000
1,Shaduf,6,0.35756,50000
1,Horcrux,6,0.362,50000
1,Ballast,6,0.45966,50000
1,Ballast-PC,6,0.1661,50000
1,LN,7,0.16524,50000
1,Revive,7,0.16568,50000
1,Shaduf,7,0.35686,50000
1,Horcrux,7,0.36078,50000
1,Ballast,7,0.46398,50000
1,Ballast-PC,7,0.1663,50000
1,LN,8,0.1641,50000
1,Revive,8,0.16422,50000
1,Shaduf,8,0.35364,50000
1,Horcrux,8,0.3567,50000
1,Ballast,8,0.4571,50000
1,Ballast-PC,8,0.16486,50000
1,LN,9,0.16584,50000
1,Revive,9,0.1663,50000
1,Shaduf,9,0.35604,50000
1,Horcrux,9,0.35958,50000
1,Ballast,9,0.45994,50000
1,Ballast-PC,9,0.16698,50000
2,LN,0,0.268,50000
2,Revive,0,0.2689,50000
2,Shaduf,0,0.48928,50000
2,Horcrux,0,0.50108,50000
2,Ballast,0,0.58822,50000
2,Ballast-PC,0,0.2706,50000
2,LN,1,0.26926,50000
2,Revive,1,0.26986,50000
2,Shaduf,1,0.49166,50000
2,Horcrux,1,0.50224,50000
2,Ballast,1,0.58526,50000
2,Ballast-PC,1,0.27132,50000
2,LN,2,0.26912,50000
2,Revive,2,0.27046,50000
2,Shaduf,2,0.49224,50000
2,Horcrux,2,0.50608,50000
2,Ballast,2,0.59198,50000
2,Ballast-PC,2,0.2718,50000
2,LN,3,0.26738,50000
2,Revive,3,0.26766,50000
2,Shaduf,3,0.4868,50000
2,Horcrux,3,0.50102,50000
2,Ballast,3,0.58752,50000
2,Ballast-PC,3,0.27006,50000
2,LN,4,0.26916,50000
2,Revive,4,0.26994,50000
2,Shaduf,4,0.49238,50000
2,Horcrux,4,0.50226,50000
2,Ballast,4,0.59082,50000
2,Ballast-PC,4,0.27134,50000
2,LN,5,0.27492,50000
2,Revive,5,0.27588,50000
2,Shaduf,5,0.49306,50000
2,Horcrux,5,0.49954,50000
2,Ballast,5,0.58502,50000
2,Ballast-PC,5,0.27834,50000
2,LN,6,0.2693,50000
2,Revive,6,0.26972,50000
2,Shaduf,6,0.48916,50000
2,Horcrux,6,0.50636,50000
2,Ballast,6,0.5854,50000
2,Ballast-PC,6,0.27198,50000
2,LN,7,0.27006,50000
2,Revive,7,0.27088,50000
2,Shaduf,7,0.49284,50000
