tau_e_s,delta_s,counterparties,inflight,r_min_s,eta_per_s,theta_sat,attack_sat,bound_sat,ratio,delta_share_of_bound
1.0,0.05,8,1,0.2,40,420346,16813840,16813840,1.0,0.0
10.0,0.05,8,1,0.2,40,420346,168138400,168138400,1.0,0.0
60.0,0.05,8,1,0.2,40,420346,1008830400,1008830400,1.0,0.0
600.0,0.05,8,1,0.2,40,420346,10088304000,10088304000,1.0,0.0
1.0,0.1,8,1,0.2,40,420346,16813840,16813840,1.0,0.0
10.0,0.1,8,1,0.2,40,420346,168138400,168138400,1.0,0.0
60.0,0.1,8,1,0.2,40,420346,1008830400,1008830400,1.0,0.0
600.0,0.1,8,1,0.2,40,420346,10088304000,10088304000,1.0,0.0
1.0,0.2,8,1,0.2,40,420346,16813840,20176608,0.8333,0.1667
10.0,0.2,8,1,0.2,40,420346,168138400,171501168,0.9804,0.0196
60.0,0.2,8,1,0.2,40,420346,1008830400,1012193168,0.9967,0.0033
600.0,0.2,8,1,0.2,40,420346,10088304000,10091666768,0.9997,0.0003
1.0,0.5,8,1,0.2,40,420346,16813840,23539376,0.7143,0.2857
10.0,0.5,8,1,0.2,40,420346,168138400,174863936,0.9615,0.0385
60.0,0.5,8,1,0.2,40,420346,1008830400,1015555936,0.9934,0.0066
600.0,0.5,8,1,0.2,40,420346,10088304000,10095029536,0.9993,0.0007
1.0,1.0,8,1,0.2,40,420346,16813840,33627680,0.5,0.5
10.0,1.0,8,1,0.2,40,420346,168138400,184952240,0.9091,0.0909
60.0,1.0,8,1,0.2,40,420346,1008830400,1025644240,0.9836,0.0164
600.0,1.0,8,1,0.2,40,420346,10088304000,10105117840,0.9983,0.0017
1.0,0.05,8,2,0.2,80,420346,33627680,33627680,1.0,0.0
10.0,0.05,8,2,0.2,80,420346,336276800,336276800,1.0,0.0
60.0,0.05,8,2,0.2,80,420346,2017660800,2017660800,1.0,0.0
600.0,0.05,8,2,0.2,80,420346,20176608000,20176608000,1.0,0.0
1.0,0.1,8,2,0.2,80,420346,33627680,33627680,1.0,0.0
10.0,0.1,8,2,0.2,80,420346,336276800,336276800,1.0,0.0
60.0,0.1,8,2,0.2,80,420346,2017660800,2017660800,1.0,0.0
600.0,0.1,8,2,0.2,80,420346,20176608000,20176608000,1.0,0.0
1.0,0.2,8,2,0.2,80,420346,33627680,40353216,0.8333,0.1667
10.0,0.2,8,2,0.2,80,420346,336276800,343002336,0.9804,0.0196
60.0,0.2,8,2,0.2,80,420346,2017660800,2024386336,0.9967,0.0033
600.0,0.2,8,2,0.2,80,420346,20176608000,20183333536,0.9997,0.0003
1.0,0.5,8,2,0.2,80,420346,33627680,47078752,0.7143,0.2857
10.0,0.5,8,2,0.2,80,420346,336276800,349727872,0.9615,0.0385
60.0,0.5,8,2,0.2,80,420346,2017660800,2031111872,0.9934,0.0066
600.0,0.5,8,2,0.2,80,420346,20176608000,20190059072,0.9993,0.0007
1.0,1.0,8,2,0.2,80,420346,33627680,67255360,0.5,0.5
10.0,1.0,8,2,0.2,80,420346,336276800,369904480,0.9091,0.0909
60.0,1.0,8,2,0.2,80,420346,2017660800,2051288480,0.9836,0.0164
600.0,1.0,8,2,0.2,80,420346,20176608000,20210235680,0.9983,0.0017
1.0,0.05,16,1,0.2,80,420346,33627680,33627680,1.0,0.0
10.0,0.05,16,1,0.2,80,420346,336276800,336276800,1.0,0.0
60.0,0.05,16,1,0.2,80,420346,2017660800,2017660800,1.0,0.0
600.0,0.05,16,1,0.2,80,420346,20176608000,20176608000,1.0,0.0
1.0,0.1,16,1,0.2,80,420346,33627680,33627680,1.0,0.0
10.0,0.1,16,1,0.2,80,420346,336276800,336276800,1.0,0.0
60.0,0.1,16,1,0.2,80,420346,2017660800,2017660800,1.0,0.0
600.0,0.1,16,1,0.2,80,420346,20176608000,20176608000,1.0,0.0
1.0,0.2,16,1,0.2,80,420346,33627680,40353216,0.8333,0.1667
10.0,0.2,16,1,0.2,80,420346,336276800,343002336,0.9804,0.0196
60.0,0.2,16,1,0.2,80,420346,2017660800,2024386336,0.9967,0.0033
600.0,0.2,16,1,0.2,80,420346,20176608000,20183333536,0.9997,0.0003
1.0,0.5,16,1,0.2,80,420346,33627680,47078752,0.7143,0.2857
10.0,0.5,16,1,0.2,80,420346,336276800,349727872,0.9615,0.0385
60.0,0.5,16,1,0.2,80,420346,2017660800,2031111872,0.9934,0.0066
600.0,0.5,16,1,0.2,80,420346,20176608000,20190059072,0.9993,0.0007
1.0,1.0,16,1,0.2,80,420346,33627680,67255360,0.5,0.5
10.0,1.0,16,1,0.2,80,420346,336276800,369904480,0.9091,0.0909
60.0,1.0,16,1,0.2,80,420346,2017660800,2051288480,0.9836,0.0164
600.0,1.0,16,1,0.2,80,420346,20176608000,20210235680,0.9983,0.0017
1.0,0.05,32,1,0.2,160,420346,67255360,67255360,1.0,0.0
10.0,0.05,32,1,0.2,160,420346,672553600,672553600,1.0,0.0
60.0,0.05,32,1,0.2,160,420346,4035321600,4035321600,1.0,0.0
600.0,0.05,32,1,0.2,160,420346,40353216000,40353216000,1.0,0.0
1.0,0.1,32,1,0.2,160,420346,67255360,67255360,1.0,0.0
10.0,0.1,32,1,0.2,160,420346,672553600,672553600,1.0,0.0
60.0,0.1,32,1,0.2,160,420346,4035321600,4035321600,1.0,0.0
600.0,0.1,32,1,0.2,160,420346,40353216000,40353216000,1.0,0.0
1.0,0.2,32,1,0.2,160,420346,67255360,80706432,0.8333,0.1667
10.0,0.2,32,1,0.2,160,420346,672553600,686004672,0.9804,0.0196
60.0,0.2,32,1,0.2,160,420346,4035321600,4048772672,0.9967,0.0033
600.0,0.2,32,1,0.2,160,420346,40353216000,40366667072,0.9997,0.0003
1.0,0.5,32,1,0.2,160,420346,67255360,94157504,0.7143,0.2857
10.0,0.5,32,1,0.2,160,420346,672553600,699455744,0.9615,0.0385
60.0,0.5,32,1,0.2,160,420346,4035321600,4062223744,0.9934,0.0066
600.0,0.5,32,1,0.2,160,420346,40353216000,40380118144,0.9993,0.0007
1.0,1.0,32,1,0.2,160,420346,67255360,134510720,0.5,0.5
10.0,1.0,32,1,0.2,160,420346,672553600,739808960,0.9091,0.0909
60.0,1.0,32,1,0.2,160,420346,4035321600,4102576960,0.9836,0.0164
600.0,1.0,32,1,0.2,160,420346,40353216000,40420471360,0.9983,0.0017
1.0,0.05,8,1,0.1,80,420346,33627680,33627680,1.0,0.0
10.0,0.05,8,1,0.1,80,420346,336276800,336276800,1.0,0.0
60.0,0.05,8,1,0.1,80,420346,2017660800,2017660800,1.0,0.0
600.0,0.05,8,1,0.1,80,420346,20173245232,20176608000,0.9998,0.0
1.0,0.1,8,1,0.1,80,420346,33627680,36990448,0.9091,0.0909
10.0,0.1,8,1,0.1,80,420346,336276800,339639568,0.9901,0.0099
60.0,0.1,8,1,0.1,80,420346,2017660800,2021023568,0.9983,0.0017
600.0,0.1,8,1,0.1,80,420346,20173245232,20179970768,0.9997,0.0002
1.0,0.2,8,1,0.1,80,420346,33627680,40353216,0.8333,0.1667
10.0,0.2,8,1,0.1,80,420346,336276800,343002336,0.9804,0.0196
60.0,0.2,8,1,0.1,80,420346,2017660800,2024386336,0.9967,0.0033
600.0,0.2,8,1,0.1,80,420346,20173245232,20183333536,0.9995,0.0003
1.0,0.5,8,1,0.1,80,420346,33627680,50441520,0.6667,0.3333
10.0,0.5,8,1,0.1,80,420346,336276800,353090640,0.9524,0.0476
60.0,0.5,8,1,0.1,80,420346,2017660800,2034474640,0.9917,0.0083
600.0,0.5,8,1,0.1,80,420346,20173245232,20193421840,0.999,0.0008
1.0,1.0,8,1,0.1,80,420346,33627680,67255360,0.5,0.5
10.0,1.0,8,1,0.1,80,420346,336276800,369904480,0.9091,0.0909
60.0,1.0,8,1,0.1,80,420346,2017660800,2051288480,0.9836,0.0164
600.0,1.0,8,1,0.1,80,420346,20173245232,20210235680,0.9982,0.0017
1.0,0.05,64,4,0.2,1280,420346,538042880,538042880,1.0,0.0
10.0,0.05,64,4,0.2,1280,420346,5380428800,5380428800,1.0,0.0
60.0,0.05,64,4,0.2,1280,420346,32282572800,32282572800,1.0,0.0
600.0,0.05,64,4,0.2,1280,420346,322825728000,322825728000,1.0,0.0
1.0,0.1,64,4,0.2,1280,420346,538042880,538042880,1.0,0.0
10.0,0.1,64,4,0.2,1280,420346,5380428800,5380428800,1.0,0.0
60.0,0.1,64,4,0.2,1280,420346,32282572800,32282572800,1.0,0.0
600.0,0.1,64,4,0.2,1280,420346,322825728000,322825728000,1.0,0.0
1.0,0.2,64,4,0.2,1280,420346,538042880,645651456,0.8333,0.1667
10.0,0.2,64,4,0.2,1280,420346,5380428800,5488037376,0.9804,0.0196
