tau_e_s,delta_s,eta_per_s,attack_sat,bound_sat,ratio,delta_share_of_bound
10.0,1.0,40,168138400,184952240,0.9091,0.0909
60.0,1.0,40,1008830400,1025644240,0.9836,0.0164
600.0,1.0,40,10088304000,10105117840,0.9983,0.0017
10.0,2.0,40,168138400,201766080,0.8333,0.1667
60.0,2.0,40,1008830400,1042458080,0.9677,0.0323
600.0,2.0,40,10088304000,10121931680,0.9967,0.0033
10.0,5.0,40,168138400,252207600,0.6667,0.3333
60.0,5.0,40,1008830400,1092899600,0.9231,0.0769
600.0,5.0,40,10088304000,10172373200,0.9917,0.0083
10.0,12.0,40,168138400,369904480,0.4545,0.5455
60.0,12.0,40,1008830400,1210596480,0.8333,0.1667
600.0,12.0,40,10088304000,10290070080,0.9804,0.0196
10.0,1.0,400,1681384000,1849522400,0.9091,0.0909
60.0,1.0,400,10088304000,10256442400,0.9836,0.0164
600.0,1.0,400,100883040000,101051178400,0.9983,0.0017
10.0,2.0,400,1681384000,2017660800,0.8333,0.1667
60.0,2.0,400,10088304000,10424580800,0.9677,0.0323
600.0,2.0,400,100883040000,101219316800,0.9967,0.0033
10.0,5.0,400,1681384000,2522076000,0.6667,0.3333
60.0,5.0,400,10088304000,10928996000,0.9231,0.0769
600.0,5.0,400,100883040000,101723732000,0.9917,0.0083
10.0,12.0,400,1681384000,3699044800,0.4545,0.5455
60.0,12.0,400,10088304000,12105964800,0.8333,0.1667
600.0,12.0,400,100883040000,102900700800,0.9804,0.0196
10.0,1.0,1280,5380428800,5918471680,0.9091,0.0909
60.0,1.0,1280,32282572800,32820615680,0.9836,0.0164
600.0,1.0,1280,322825728000,323363770880,0.9983,0.0017
10.0,2.0,1280,5380428800,6456514560,0.8333,0.1667
60.0,2.0,1280,32282572800,33358658560,0.9677,0.0323
600.0,2.0,1280,322825728000,323901813760,0.9967,0.0033
10.0,5.0,1280,5380428800,8070643200,0.6667,0.3333
60.0,5.0,1280,32282572800,34972787200,0.9231,0.0769
600.0,5.0,1280,322825728000,325515942400,0.9917,0.0083
10.0,12.0,1280,5380428800,11836943360,0.4545,0.5455
60.0,12.0,1280,32282572800,38739087360,0.8333,0.1667
600.0,12.0,1280,322825728000,329282242560,0.9804,0.0196
