theta_label,theta_sat,tau_e_s,attack_sat,bound_sat,residual_at_tau0_sat,prevention
0,0,0.1,0,0,0,yes
0,0,1.0,0,0,0,yes
0,0,10.0,0,0,0,yes
0,0,60.0,0,0,0,yes
p50,167344,0.1,0,1338756,1338756,no
p50,167344,1.0,6693780,8032536,1338756,no
p50,167344,10.0,66937800,68276556,1338756,no
p50,167344,60.0,401626800,402965556,1338756,no
p95,420346,0.1,0,3362768,3362768,no
p95,420346,1.0,16813840,20176608,3362768,no
p95,420346,10.0,168138400,171501168,3362768,no
p95,420346,60.0,1008830400,1012193168,3362768,no
